College Name,Address,District,Type
ART SCIENCE AND COMMERCE COLLEGE AMBAD,AT.AMBAD TAL.AMBAD DIST.JALNA,JALNA,Government
DR. D. Y. PATIL TECHNICAL CAMPUS,"S.NO.32/1/A/7, VARALE,TALEGAON,PUNE",PUNE,Private-Self Financing
MKD INSTITUTE OF TECHNOLOGY,"MKD EDUCATIONAL CAMPUS, NAVAPUR ROAD, WAGHALE PHATA, VIRCHAK",NANDURBAR,Private-Self Financing
FUEL BUSINESS SCHOOL,"A4, FOREST TRAILS TOWNSHIP, NEAR SALES OFFICE, PARANJAPE SCHEMES, NEAR MANAS LAKE, BHUGAON, PUNE - 412115, MAHARASHTRA",PUNE,Private-Self Financing
JIJAU INSTITUTE OF ENGINEERING TECHNOLOGY AND MANAGEMENT,AT POST KHANDGAON (BENDRI) TQ NAIGAON DIST NANDED,NANDED,Private-Self Financing
DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,VILLAGE MAMDAPUR POST NERAL,RAIGAD,Private-Self Financing
DR V K PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY,"AURANGABAD ROAD, GAD PATI, OSMANABAD",OSMANABAD,Private-Self Financing
GOVERNMENT COLLEGE OF ENGINEERING KOLHAPUR,OLD PUNE BANGALORE ROAD VIDYANAGAR,KOLHAPUR,Government
K.V.N. NAIK S. P. SANSTHA'S LOKNETE GOPINATHJI MUNDE INSTITUTE OF ENGINEERING EDUCATION & RESEARCH,"KRANTIVEER VASANTRAO NAIK MARG,CANADA CORNER,NASHIK-422002",NASHIK,Private-Self Financing
SHRI SAMBHAJI COLLEGE OF MANAGEMENT AND TECHNOLOGY,"GUT NO 25 DEGAON ROAD, OPP NANDLA DIGRAS, KHADKUT, TQ NANDED DIST NANDED",NANDED,Private-Self Financing
SASMIRAS BUSINESS SCHOOL,SASMIRA MARG WORLI MUMBAI- 400030,MUMBAI CITY,Private-Self Financing
ISMS SANKALP BUSINESS SCHOOL,"S. NO. 9/1/1, AMBEGAON (BK). PUNE",PUNE,Private-Self Financing
INSTITUTE OF MANAGEMENT AND SCIENCE,"NH NO. 6, SAKEGAON, TAL. BHUSAWAL, DIST. JALGAON",JALGAON,Private-Self Financing
KARMAVEER BHAUSAHEB HIRAY INSTITUTE OF MANAGEMENT AND RESEARCH,"LOKNETE VYANKATRAO HIRAY MARG, MALEGAON CAMP.",NASHIK,Private-Self Financing
S A V ACHARYA INSTITUTE OF MANAGEMENT STUDIES,"VEERACHARYA TECHNICAL EDUCATION CAMPUS, OPP. SHELU SUBURBAN RAILWAY STATION, SHELU/DAMAT",RAIGAD,Private-Self Financing
SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES DEEMED TO BE UNIVERSITY SVKMS NMIMS,"V.L.MEHTA ROAD,VILE PARLE (W)",MUMBAI SUBURBAN,Deemed to be University(Pvt)
PUNE INSTITUTE OF BUSINESS MANAGEMENT FOR PGDM,"GUT NO. 605/1, LAVASA ROAD, MUKAIWADI, PIRANGUT, PUNE",PUNE,Private-Self Financing
ISMS-TBS,"GAT NO. 110A, SURVEY NO. 24, BEHIND SHINDEWADI OCTROI NAKA, SHINDEWADI, PUNE",PUNE,Private-Self Financing
DURGADEVI SARAF INSTITUTE OF MANAGEMENT STUDIES,"23-A, 24-28, S.V.ROAD, MALAD (W),MUMBAI",MUMBAI CITY,Private-Self Financing
